run,n_generation,n_variation,n_format,structure,task_type,text_prompt,image_prompt,model_response,extracted_response,expected_response,match,similarity,node_font,node_color,edge_width,task_id,attempt,num_nodes,resolution
1,1,1,1,binary_tree,pre_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [84, 76, 10]","[84, 76, 10]","[84, 76, 10]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,pre_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [84, 76, 10]","[84, 76, 10]","[84, 76, 10]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,pre_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [84, 76, 10]","[84, 76, 10]","[84, 76, 10]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,in_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [76, 84, 10]","[76, 84, 10]","[76, 84, 10]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,in_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [76, 84, 10]","[76, 84, 10]","[76, 84, 10]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,in_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [76, 84, 10]","[76, 84, 10]","[76, 84, 10]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,post_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [10, 76, 84]","[10, 76, 84]","[76, 10, 84]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,post_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [10, 76, 84]","[10, 76, 84]","[76, 10, 84]",False,33.33333333333333,sans-serif,#fee4b3,1.0,None,3,3,512
1,1,1,1,binary_tree,post_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [76, 10, 84]","[76, 10, 84]","[76, 10, 84]",True,100.0,sans-serif,#fee4b3,1.0,None,3,3,512
2,2,1,1,binary_tree,pre_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [54, 4, 11, 3, 90, 31]","[54, 4, 11, 3, 90, 31]","[54, 4, 11, 3, 90, 31]",True,100.0,sans-serif,#fee4b3,1.0,None,3,6,512
2,2,1,1,binary_tree,pre_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [54, 4, 11, 3, 90, 31]","[54, 4, 11, 3, 90, 31]","[54, 4, 11, 3, 90, 31]",True,100.0,sans-serif,#fee4b3,1.0,None,3,6,512
2,2,1,1,binary_tree,pre_order,"'###Instruction### [Given a binary tree, perform a post-order traversal.]\n    ###Context### [The binary tree is the data structure that is visually represented in the attached image.]\n    ###Task### [Provide a single-line Python list for the post-order traversal.]'",images/binary_tree/bit_run-3_gen-3_var-1_fmt-1_thk-10_clr-abe0f9_fnt-sansserif_res-512_idn-88809a18-3121-4d1b-812a-42753b994308.png," [54, 4, 11, 3, 90, 31]","[54, 4, 11, 3, 90, 31]","[54, 4, 11, 3, 90, 31]",True,100.0,sans-serif,#fee4b3,1.0,None,3,6,512
